topBid,topAsk,bidVol,askVol
6327.89,6327.9,1.22014823,2.3
6327.89,6327.9,1.22014823,2.22253213
6327.89,6327.9,1.22014823,2.22253213
6327.89,6327.9,1.22014823,0
6327.89,6329.39,1.22014823,0
6327.89,6329.39,1.22014823,0.20719597
6327.89,6329.39,1.22014823,0.20719597
6327.89,6329.39,2.22014823,0.20719597
6327.89,6329.39,1.22014823,0.20719597
6327.89,6329.39,0.91944837,0.20719597
6327.89,6329.39,0.96944837,0.20719597
6327.89,6329.39,0.91944837,0.20719597
6327.89,6329.39,0.91944837,7.70719597
6327.89,6329.39,0.91944837,0.20719597
6327.89,6329.39,0.91944837,0.71719597
6327.89,6329.39,0.91944837,8.21719597
6327.89,6329.39,0.91944837,0.71719597
6327.89,6329.39,0.91944837,8.21719597
6327.89,6329.39,0.91944837,0.71719597
6327.89,6329.39,0.91944837,8.21719597
6327.89,6329.39,0.91944837,0.71719597
6327.89,6329.39,0.91944837,8.21719597
6327.89,6329.39,0.91944837,0.71719597
6327.89,6329.39,0.91944837,0.20719597
6327.93,6329.37,0.91944837,0.20719597
6327.93,6329.37,0.91944837,0.5006427
6327.93,6329.37,0.91944837,0.5006427
6327.93,6329.37,0.91944837,0.50286904
6327.93,6329.37,0.91944837,0.00222634
6327.93,6329.37,0.91944837,0.01769697
6327.93,6329.37,0.91944837,0.00222634
6327.93,6329.36,0.91944837,0.00222634
6327.93,6329.36,0.91944837,0.51078732
6327.93,6329.36,0.91944837,0.00220409
6327.93,6329.36,0.84117532,0.00220409
6327.93,6329.34,0.84117532,0.00220409
6327.93,6329.34,0.84117532,0.44723176
6327.96,6329.34,0.84117532,0.44723176
6327.96,6329.34,0,0.44723176
6327.96,6329.34,0,0.44939136
6327.96,6329.34,0,0.0021596
6327.96,6329.34,0.08,0.0021596
6327.96,6329.34,0,0.0021596
6327.96,6329.34,0,0.01762902
6327.96,6329.34,0,0.0021596
6327.96,6329.34,0.08,0.0021596
6327.96,6329.34,0,0.0021596
6327.96,6329.34,0.01546957,0.0021596
6327.96,6329.34,0,0.0021596
6327.95,6329.33,0,0.0021596
6327.95,6329.33,0,0.45859861
6327.95,6329.33,0,0.00213736
6327.95,6329.33,0,0.00213736
6327.95,6329.33,0.01546957,0.00213736
6327.95,6329.32,0.01546957,0.00213736
6327.95,6329.32,0,0.00213736
6327.95,6329.32,0.01547063,0.00213736
6327.95,6329.32,0.01547063,0.43896713
6327.95,6329.32,0.01547063,0.43896713
6327.95,6329.32,0,0.43896713
6327.95,6329.32,0,0.51571121
6327.95,6329.32,0,0.07674408
6327.95,6329.32,0.01547063,0.07674408
6327.95,6329.32,0,0.07674408
6327.95,6329.32,0,0
6327.95,6329.32,0.01547132,0
6327.95,6329.32,0,0
6327.95,6329.32,0.01547064,0
6329.29,6329.3,0.01547064,0
6329.29,6329.3,0.01547064,0
6329.29,6329.3,0.01547064,0.00207062
6329.29,6329.3,0.33763487,0.00207062
6329.29,6329.3,0.29330987,0.00207062
6329.29,6329.3,0.29330987,0.43207062
6329.29,6329.3,0.33763487,0.43207062
6329.29,6329.3,0.33763487,0.43
6329.29,6329.3,0.33763487,0.43
6329.29,6329.3,0.33763487,0.42814042
6329.29,6329.3,0.33763487,0.42814042
6329.29,6329.3,0.33763487,0
6329.29,6329.3,0.29330987,0
6329.29,6329.3,0,0
6329.33,6329.34,0,0
6329.33,6329.34,0,0.41238956
6329.33,6329.34,0,0.41238956
6329.33,6329.34,0,0.39107355
6329.33,6329.34,0,0.39107355
6329.33,6329.34,0,0
6329.33,6329.34,0,0
6328.85,6329.35,0,0
6328.85,6329.35,0,0
6329.36,6329.37,0,0
6329.36,6329.37,0,0.58549628
6329.36,6329.37,0,0.18549628
6329.36,6329.37,0.0136278,0.18549628
6329.36,6329.37,0.0136278,0.18549628
6329.36,6329.37,0,0.18549628
6328.85,6329.37,0,0.18549628
6328.85,6329.37,0,0.18549628
6327.95,6329.37,0,0.18549628
6327.95,6329.37,0,0.18549628
6327.93,6329.37,0,0.18549628
6327.93,6329.37,5.76698822,0.18549628
6327.93,6329.37,5.97596949,0.18549628
6327.93,6329.37,6.11596949,0.18549628
6327.93,6329.37,6.11901811,0.18549628
6327.93,6329.37,2.17601811,0.18549628
6327.93,6327.94,2.17601811,0.18549628
6327.93,6327.94,2.17601811,2.36552049
6327.93,6327.94,2.17601811,2.36552049
6327.93,6327.94,2.03601811,2.36552049
6327.93,6327.94,2.03601811,2.36410405
6327.93,6327.94,2.03601811,2.36410405
6327.93,6327.94,2.18601811,2.36410405
6327.93,6327.94,2.18601811,2.35010943
6327.93,6327.94,2.18601811,2.35010943
6327.93,6327.94,2.18601811,2.30671191
6327.93,6327.94,2.18601811,2.30671191
6327.93,6327.94,2.19101924,2.30671191
6327.93,6327.94,2.06293924,2.30671191
6327.93,6327.94,2.06293924,2.30671191
6327.93,6327.94,2.06293924,2.30262202
6327.93,6327.94,2.06293924,2.30262202
