topBid,topAsk,sequence,time,side,size,price
6266.4,6266.41,7259019864,10/31/2018 04:03:30,buy,0.00231000,6266.40000000
6266.4,6266.41,7259020180,10/31/2018 04:03:38,sell,0.00373308,6266.41000000
6266.4,6266.41,7259020184,10/31/2018 04:03:38,sell,0.15645607,6266.41000000
6266.4,6266.41,7259020192,10/31/2018 04:03:39,sell,0.09161696,6266.41000000
6266.4,6266.41,7259020247,10/31/2018 04:03:41,sell,0.78555384,6266.41000000
6266.4,6266.41,7259020789,10/31/2018 04:03:51,buy,0.00231000,6266.40000000
6266.4,6266.41,7259020981,10/31/2018 04:03:57,sell,0.04693746,6266.41000000
6266.4,6266.41,7259021037,10/31/2018 04:03:58,sell,0.00158787,6266.41000000
6266.4,6266.41,7259021042,10/31/2018 04:03:58,buy,0.00637736,6266.40000000
6266.4,6266.41,7259021044,10/31/2018 04:03:58,buy,0.22282264,6266.40000000
6266.4,6266.41,7259021178,10/31/2018 04:04:01,sell,0.00151007,6266.41000000
6266.4,6266.41,7259021255,10/31/2018 04:04:02,sell,0.01587871,6266.41000000
6266.4,6266.41,7259021370,10/31/2018 04:04:05,sell,0.01115162,6266.41000000
6266.4,6266.41,7259021407,10/31/2018 04:04:06,sell,0.09161696,6266.41000000
6266.4,6266.41,7259021439,10/31/2018 04:04:07,sell,0.05726020,6266.41000000
6266.4,6266.41,7259021540,10/31/2018 04:04:11,buy,0.00231000,6266.40000000
6266.4,6266.41,7259021573,10/31/2018 04:04:12,sell,0.00285976,6266.41000000
6266.4,6266.41,7259021698,10/31/2018 04:04:15,sell,0.02748445,6266.41000000
6266.4,6266.41,7259021722,10/31/2018 04:04:17,sell,0.00762337,6266.41000000
6266.4,6266.41,7259022124,10/31/2018 04:04:22,sell,0.00524156,6266.41000000
6266.4,6266.41,7259022495,10/31/2018 04:04:31,buy,0.00231000,6266.40000000
6266.4,6266.41,7259022544,10/31/2018 04:04:33,buy,0.03207663,6266.40000000
6266.4,6266.41,7259022552,10/31/2018 04:04:33,buy,0.04811495,6266.40000000
6266.4,6266.41,7259022572,10/31/2018 04:04:33,sell,0.06871193,6266.41000000
6266.4,6266.41,7259022692,10/31/2018 04:04:36,sell,0.00293915,6266.41000000
6266.4,6266.41,7259022746,10/31/2018 04:04:38,sell,0.00984639,6266.41000000
6266.4,6266.41,7259022988,10/31/2018 04:04:45,sell,0.04895861,6266.41000000
6266.4,6266.41,7259023144,10/31/2018 04:04:51,buy,0.00231000,6266.40000000
6266.4,6266.41,7259023628,10/31/2018 04:05:02,sell,0.00238095,6266.41000000
6266.4,6266.41,7259023719,10/31/2018 04:05:04,sell,0.07375183,6266.41000000
6266.4,6266.41,7259023989,10/31/2018 04:05:11,buy,0.00231000,6266.40000000
6266.4,6266.41,7259024161,10/31/2018 04:05:15,sell,0.00524156,6266.41000000
6266.4,6266.41,7259024243,10/31/2018 04:05:17,sell,0.01143426,6266.41000000
6266.4,6266.41,7259024356,10/31/2018 04:05:22,sell,0.19697853,6266.41000000
6266.4,6266.41,7259024531,10/31/2018 04:05:31,buy,0.00231000,6266.40000000
6266.4,6266.41,7259024667,10/31/2018 04:05:35,sell,0.07791523,6266.41000000
6266.4,6266.41,7259024923,10/31/2018 04:05:40,sell,0.01984997,6266.41000000
6266.4,6266.41,7259024957,10/31/2018 04:05:40,sell,0.85577702,6266.41000000
6266.4,6266.41,7259024959,10/31/2018 04:05:40,sell,0.02315000,6266.41000000
6266.4,6266.41,7259024961,10/31/2018 04:05:40,sell,0.00100000,6266.41000000
6266.4,6266.41,7259024963,10/31/2018 04:05:40,sell,3.03147008,6266.41000000
6266.4,6266.41,7259025133,10/31/2018 04:05:41,buy,0.23576327,6266.40000000
6266.4,6266.41,7259025229,10/31/2018 04:05:42,sell,0.00371345,6266.41000000
6266.4,6266.41,7259025530,10/31/2018 04:05:48,buy,0.16840750,6266.40000000
6266.4,6266.41,7259025532,10/31/2018 04:05:48,buy,0.00100000,6266.40000000
6266.4,6266.41,7259025534,10/31/2018 04:05:48,buy,0.00100000,6266.40000000
6266.4,6266.41,7259025536,10/31/2018 04:05:48,buy,0.03191625,6266.40000000
6266.4,6266.41,7259025538,10/31/2018 04:05:48,buy,0.01600000,6266.38000000
6266.4,6266.41,7259025540,10/31/2018 04:05:48,buy,0.00100000,6266.24000000
6266.4,6266.41,7259025542,10/31/2018 04:05:48,buy,0.00787899,6266.00000000
6265.01,6266.41,7259025544,10/31/2018 04:05:48,buy,0.16653795,6265.01000000
6265.01,6266.41,7259025547,10/31/2018 04:05:48,buy,0.01246968,6265.01000000
6265.01,6266.41,7259026033,10/31/2018 04:05:52,sell,0.01526896,6265.02000000
6265.01,6265.02,7259026102,10/31/2018 04:05:52,sell,0.00143067,6265.02000000
6265.01,6265.02,7259026369,10/31/2018 04:05:58,sell,0.00762506,6265.02000000
6265.01,6265.02,7259026438,10/31/2018 04:06:00,buy,0.01587985,6265.01000000
6265.01,6265.02,7259026564,10/31/2018 04:06:05,sell,0.07636494,6265.02000000
6265.01,6265.02,7259026692,10/31/2018 04:06:07,sell,0.00131037,6265.02000000
6265.01,6265.02,7259026694,10/31/2018 04:06:07,sell,0.00396600,6265.02000000
6265.01,6265.02,7259026696,10/31/2018 04:06:07,sell,0.00156951,6265.02000000
6265.01,6265.02,7259026698,10/31/2018 04:06:07,sell,0.01345412,6265.02000000
6265.01,6265.02,7259026823,10/31/2018 04:06:09,sell,0.00969588,6265.02000000
6265.01,6265.02,7259026825,10/31/2018 04:06:09,sell,0.01168162,6265.02000000
6265.01,6265.02,7259026856,10/31/2018 04:06:10,sell,0.00444861,6265.02000000
6265.01,6265.02,7259027087,10/31/2018 04:06:14,buy,0.00160419,6265.01000000
6265.01,6265.02,7259027349,10/31/2018 04:06:19,buy,0.01386502,6265.01000000
6265.01,6265.02,7259027518,10/31/2018 04:06:23,sell,0.00762506,6265.02000000
6265.01,6265.02,7259027536,10/31/2018 04:06:24,sell,0.01175444,6265.02000000
6265.01,6265.02,7259027759,10/31/2018 04:06:27,sell,0.01680022,6265.02000000
6265.01,6265.02,7259028007,10/31/2018 04:06:31,sell,0.00214569,6265.02000000
6265.01,6265.02,7259028054,10/31/2018 04:06:31,buy,0.00231000,6265.01000000
6265.01,6265.02,7259028058,10/31/2018 04:06:31,sell,0.00278098,6265.02000000
6265.01,6265.02,7259028113,10/31/2018 04:06:32,sell,0.00890675,6265.02000000
6265.01,6265.02,7259028450,10/31/2018 04:06:35,sell,0.00101329,6265.02000000
6265.01,6265.02,7259028595,10/31/2018 04:06:38,sell,0.04352684,6265.02000000
6265.01,6265.02,7259028838,10/31/2018 04:06:43,sell,0.00631650,6265.02000000
6265.01,6265.02,7259028840,10/31/2018 04:06:43,sell,0.00971979,6265.02000000
6265.01,6265.02,7259028907,10/31/2018 04:06:44,sell,0.01159562,6265.02000000
6265.01,6265.02,7259029092,10/31/2018 04:06:47,sell,0.01104133,6265.02000000
6265.01,6265.02,7259029201,10/31/2018 04:06:48,sell,0.04647776,6265.02000000
6265.01,6265.02,7259029246,10/31/2018 04:06:50,sell,0.12519326,6265.02000000
6265.01,6265.02,7259029365,10/31/2018 04:06:51,buy,0.00231000,6265.01000000
6265.01,6265.02,7259029400,10/31/2018 04:06:53,sell,0.00326000,6265.02000000
6265.01,6265.02,7259029459,10/31/2018 04:06:56,buy,0.13912526,6265.01000000
6265.01,6265.02,7259029461,10/31/2018 04:06:56,buy,0.00378183,6265.01000000
6265.01,6265.02,7259029463,10/31/2018 04:06:56,buy,0.16188855,6265.01000000
6265.01,6265.02,7259030582,10/31/2018 04:07:06,sell,0.02315000,6265.02000000
6265.01,6265.02,7259030584,10/31/2018 04:07:06,sell,0.00100000,6265.02000000
6265.01,6265.02,7259030586,10/31/2018 04:07:06,sell,0.05221494,6265.02000000
6265.01,6265.02,7259030822,10/31/2018 04:07:08,sell,0.00984857,6265.02000000
6265.01,6265.02,7259031723,10/31/2018 04:07:31,buy,0.00231000,6265.01000000
6265.01,6265.02,7259031806,10/31/2018 04:07:35,sell,0.02176024,6265.02000000
6265.01,6265.02,7259031868,10/31/2018 04:07:37,sell,0.12078118,6265.02000000
6265.01,6265.02,7259031874,10/31/2018 04:07:38,sell,0.33142084,6265.02000000
6265.01,6265.02,7259031967,10/31/2018 04:07:42,sell,0.03912270,6265.02000000
6265.01,6265.02,7259032196,10/31/2018 04:07:44,sell,0.03580000,6265.02000000
6265.01,6265.02,7259032353,10/31/2018 04:07:46,buy,0.06352583,6265.01000000
6265.01,6265.02,7259032709,10/31/2018 04:07:51,sell,0.02334847,6265.02000000
6265.01,6265.02,7259032716,10/31/2018 04:07:51,sell,0.00326000,6265.02000000
6265.01,6265.02,7259032720,10/31/2018 04:07:51,buy,0.00231000,6265.01000000
6265.01,6265.02,7259033654,10/31/2018 04:08:02,sell,0.00873681,6265.02000000
6265.01,6265.02,7259034071,10/31/2018 04:08:07,sell,0.10690964,6265.02000000
6265.01,6265.02,7259034244,10/31/2018 04:08:08,sell,0.12000000,6265.02000000
6265.01,6265.02,7259034512,10/31/2018 04:08:11,buy,0.00231000,6265.01000000
6265.01,6265.02,7259034524,10/31/2018 04:08:11,sell,0.00341627,6265.02000000
6265.01,6265.02,7259034983,10/31/2018 04:08:17,sell,0.00293980,6265.02000000
6265.01,6265.02,7259035210,10/31/2018 04:08:25,sell,0.00143099,6265.02000000
6265.01,6265.02,7259035239,10/31/2018 04:08:26,sell,0.00143099,6265.02000000
6265.01,6265.02,7259035261,10/31/2018 04:08:27,sell,0.00143099,6265.02000000
6265.01,6265.02,7259035267,10/31/2018 04:08:27,buy,0.43041809,6265.01000000
6265.01,6265.02,7259035331,10/31/2018 04:08:27,sell,0.00143099,6265.02000000
6265.01,6265.02,7259035363,10/31/2018 04:08:28,sell,0.00762506,6265.02000000
6265.01,6265.02,7259035516,10/31/2018 04:08:30,buy,0.00231000,6265.01000000
6265.01,6265.02,7259035614,10/31/2018 04:08:33,buy,0.01269000,6265.01000000
6265.01,6265.02,7259035616,10/31/2018 04:08:33,buy,0.00447481,6265.01000000
6265.01,6265.02,7259035723,10/31/2018 04:08:37,buy,0.06052519,6265.01000000
6265.01,6265.02,7259035725,10/31/2018 04:08:37,buy,0.01500000,6265.01000000
6265.01,6265.02,7259035727,10/31/2018 04:08:37,buy,0.14844120,6265.00000000
